Distance Metric,Experiment Type,M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time
dot,hnsw,8,64,1,512,0.01194226016998291,83.73624303660026,0.9344,1194.616456270218
dot,hnsw,8,64,10,128,0.009066874313354492,110.29159172606063,0.93833,1184.7793262004852
dot,hnsw,8,64,10,256,0.009988408184051514,100.11605268562207,0.97464,1187.1402549743652
dot,hnsw,8,64,10,512,0.012506701445579528,79.95713372956929,0.94145,1182.0269706249237
dot,hnsw,8,64,100,128,0.011221654224395751,89.11342124818025,0.776771,1186.1030147075653
dot,hnsw,8,64,100,256,0.012950794577598571,77.21533949196707,0.7339,1177.5475471019745
dot,hnsw,8,64,100,512,0.01473131926059723,67.8825828366073,0.922365,1190.7546820640564
dot,hnsw,8,128,1,128,0.008811092138290405,113.49330869601229,0.9618,1518.6960279941559
dot,hnsw,8,128,1,256,0.010114029932022095,98.87255690571902,0.9815,1514.5666394233704
dot,hnsw,8,128,1,512,0.01228839123249054,81.37761738542287,0.9893,1500.9237744808197
dot,hnsw,8,128,10,128,0.00962396559715271,103.9072708547352,0.95106,1507.5779166221619
dot,hnsw,8,128,10,256,0.010810017132759094,92.5067914064226,0.98067,1508.3072545528412
dot,hnsw,8,128,10,512,0.01283646035194397,77.90309575868076,0.99311,1502.9262149333954
dot,hnsw,8,128,100,128,0.010831973171234131,92.3192833098631,0.86261,1504.8928167819977
dot,hnsw,8,128,100,256,0.014646370124816895,68.27630269329288,0.940984,1523.3530802726746
dot,hnsw,8,128,100,512,0.015113413095474244,66.16639098546528,0.978541,1490.012184381485
dot,hnsw,8,512,1,128,0.00856151020526886,116.80182304572709,0.9668,3041.5619065761566
dot,hnsw,8,512,1,256,0.009376314568519593,106.65171189514474,0.9835,3194.175942182541
dot,hnsw,8,512,1,512,0.012284814381599425,81.40131132122198,0.9911,3208.04704618454
dot,hnsw,8,512,10,128,0.00991777446269989,100.82907246589802,0.95499,3183.3100662231445
dot,hnsw,8,512,10,256,0.010727458643913269,93.21872338956975,0.98457,3192.4055788517
dot,hnsw,8,512,10,512,0.012996999025344848,76.94083826966103,0.9948,3186.450245141983
dot,hnsw,8,512,100,128,0.011565846371650696,86.46146316201487,0.868468,3163.205416202545
dot,hnsw,8,512,100,256,0.012600491786003113,79.3619818165209,0.946282,3176.721143245697
dot,hnsw,8,512,100,512,0.015467248344421387,64.65274092276876,0.982038,3144.6513583660126
dot,hnsw,16,64,1,128,0.009826350522041321,101.76718179927704,0.9778,1220.0566318035126
dot,hnsw,16,64,1,256,0.01217988486289978,82.1025823524838,0.99,1227.3349738121033
dot,hnsw,16,64,1,512,0.015427484226226806,64.81938243048045,0.9506,1207.1719288825989
dot,hnsw,16,64,10,128,0.010061194920539855,99.39177283589918,0.95546,1223.7073402404785
dot,hnsw,16,64,10,256,0.012331143498420715,81.0954799226911,0.99213,1217.6407718658447
dot,hnsw,16,64,10,512,0.01504167194366455,66.4819711362734,0.99729,1220.9610266685486
dot,hnsw,16,64,100,128,0.012494723463058471,80.03378409746885,0.849481,1208.699533700943
dot,hnsw,16,64,100,256,0.01361303150653839,73.45902340119437,0.937355,1187.0248928070068
dot,hnsw,16,64,100,512,0.016275064539909363,61.44368875145297,0.991487,1194.835154056549
dot,hnsw,16,128,1,128,0.02153403558731079,46.43811402398085,0.9866,1555.2045364379883
dot,hnsw,16,128,1,256,0.02239480793476105,44.65320724844475,0.9924,1556.3926801681519
dot,hnsw,16,128,1,512,0.015169623136520385,65.92121577447311,0.9934,1558.8168578147888
dot,hnsw,16,128,10,128,0.04696769938468933,21.29122808016402,0.98657,1557.342657327652
dot,hnsw,16,128,10,256,0.012872707271575927,77.68373652122798,0.99639,1565.3925459384918
dot,hnsw,16,128,10,512,0.020381062841415405,49.06515463795866,0.99845,1553.5135052204132
dot,hnsw,16,128,100,128,0.012607698106765748,79.31662001514486,0.942763,1587.4891669750214
dot,hnsw,16,128,100,256,0.09221889650821685,10.843764541369223,0.983334,1550.0130817890167
dot,hnsw,16,128,100,512,0.017686330890655518,56.54083971302069,0.996071,1595.3834691047668
dot,hnsw,16,512,1,128,0.010122338843345641,98.79139747010083,0.9895,3571.578827381134
dot,hnsw,16,512,1,256,0.012482630562782288,80.11131908217808,0.9919,3546.1221239566803
dot,hnsw,16,512,1,512,0.015081381893157959,66.30692114849732,0.9939,3573.5077266693115
dot,hnsw,16,512,10,128,0.010485099148750305,95.37344242654946,0.99024,3576.043769598007
dot,hnsw,16,512,10,256,0.012041170239448548,83.04840643510387,0.99747,3520.001976966858
dot,hnsw,16,512,10,512,0.016149212646484376,61.922523524247254,0.99876,3543.465224504471
dot,hnsw,16,512,100,128,0.012134947061538696,82.40662237163491,0.950937,3509.420320034027
dot,hnsw,16,512,100,256,0.014307601356506348,69.89291741380902,0.987529,3677.47980928421
dot,hnsw,16,512,100,512,0.01658961412906647,60.27867750389154,0.997586,3774.4505140781403
dot,hnsw,64,64,1,128,0.011044979357719422,90.5388745069127,0.9855,1245.1583456993103
dot,hnsw,64,64,1,256,0.012042951083183288,83.03612570480291,0.987,1227.7093069553375
dot,hnsw,64,64,1,512,0.014898816871643067,67.11942354988611,0.992,1213.781063079834
dot,hnsw,64,64,10,128,0.012589057421684265,79.43406456130153,0.98168,1225.8931686878204
dot,hnsw,64,64,10,256,0.012837581849098206,77.89629010780145,0.99444,1229.3816096782684
dot,hnsw,64,64,10,512,0.01493254063129425,66.96784054980515,0.99807,1225.0567803382874
dot,hnsw,64,64,100,128,0.013312058734893798,75.11986086560621,0.927883,1232.2997901439667
dot,hnsw,64,64,100,256,0.016964636039733888,58.94615113804035,0.979726,1230.1724088191986
dot,hnsw,64,64,100,512,0.018619362139701844,53.70753264784039,0.994261,1230.7031440734863
dot,hnsw,64,128,1,128,0.01063233072757721,94.05275528217793,0.9898,1676.6561019420624
dot,hnsw,64,128,1,256,0.012988791537284852,76.98945641936432,0.9914,1672.070612668991
dot,hnsw,64,128,1,512,0.015506620264053344,64.48858506699548,0.9934,1674.1524028778076
dot,hnsw,64,128,10,128,0.033598602986335754,29.76314224751222,0.99285,1675.5137479305267
dot,hnsw,64,128,10,256,0.016652788400650025,60.0500033952852,0.9977,1689.3427076339722
dot,hnsw,64,128,10,512,0.01763589062690735,56.70255169729192,0.99892,1667.6839454174042
